id,name
Visibity Study,طلب دراسة جدوى
Whom may concern request,طلب شهادة لمن يهمه الامر
Send samples for analysis,طلب ارسال عينات للخارج للتحليل
Fuel Permission,طلب موافقة وقود
Foreigner procedure,طلب اجراءات اجنبي
Local Purchase,طلب شراء محلي
Add Area,طلب اضافة مساحة
Tajmeed,طلب تجمييد
Work Plan,طلب خطة عمل
Explosive Permission,طلب تجديد استخدام متفجرات
Aifaa Jomrki,طلب اعفاء جمركي
Reexport Equipments,طلب اعادة صادر لاليات ومعدات
Takhali,طلب تخلي
Change Work Procedure,طلب تغيير طريقة العمل
Technical & Financial Report,طلبات التقارير الفنية والمالية
BorrowMaterials,طلب استلاف مواد
Exploration Time,طلب اعتماد مواقيت الاستكشاف
Taaweed,طلب تعويض
Tamdeed,طلب تمديد/تجديد
Export Gold,طلب صادر ذهب
Requirements List,طلب كشف احتياجات
Import Permission,طلب اذن ادخال مواد
Cyanide Certificate,شهادة مستخدم سيانيد